filename,author,x_handle,post_url,count,ext
001,まおS,munouyaku_desu,https://x.com/munouyaku_desu/status/2053807330819805495,2,jpg
002,ピリリたん,tottchiki2619,https://x.com/tottchiki2619/status/2021417657078018169,1,jpg
